id,artist,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
377,"Pradillo, Francesco",,,,,,,,,,
378,"Herkomer, Sir Hubert",,,,,,,,,,
379,"Ketel, Cornelius",,,,,,,,,,
380,"Musscher, Michael Van",,,,,,,,,,
381,"Mackenzie, Frederick",,,,,,,,,,
382,"Pourbus, Peter",,,,,,,,,,
383,"Robson, George Fennel",,,,,,,,,,
384,"Orpen, Sir William, K.B.E., A.R.A",,,,,,,,,,
385,Massini,,,,,,,,,,
386,"Ruysch, Rachel",,,,,,,,,,
387,"Henshaw, Frederick Henry",,,,,,,,,,
388,"Jacque, Charles",,,,,,,,,,
389,"Molinear, Jan Miense",,,,,,,,,,
390,"Leech, John",,,,,,,,,,
391,Roepel,,,,,,,,,,
392,"Heemskirk, Egbert",,,,,,,,,,
393,"Sadler, Walter Dendy",,,,,,,,,,
394,"Salviati, Francesco",,,,,,,,,,
395,"Rowbotham, Thomas Lesson C.",,,,,,,,,,
396,Romagnesi,,,,,,,,,,
397,"Schidone, Bartolommeo",,,,,,,,,,
398,"Sartorius, J. F.",,,,,,,,,,
399,"Sartorius, John N.",,,,,,,,,,
400,"Koedyk, Nicolas",,,,,,,,,,
401,"Neufchatel, Nicholas (called Lucidel)",,,,,,,,,,
402,"Sandys, Frederick",,,,,,,,,,
403,"Santerre, Jean Baptiste",,,,,,,,,,
404,"Raoux, Jean",,,,,,,,,,
405,"Sargent, John Singer",,,,,,,,,,
406,"Harlow, George Henry",,,,,,,,,,
407,Nuremberg School,,,,,,,,,,
408,"Kager, Johann Matthias",,,,,,,,,,
409,"Santvoort, Dirk Van",,,,,,,,,,
410,"Hone, Nathaniel",,,,,,,,,,
411,"Mogford, John",,,,,,,,,,
412,Portomno,,,,,,,,,,
413,"Minderhout, Henry Van",,,,,,,,,,
414,"Michie, James Coutts",,,,,,,,,,
415,"Savoldo, Gian Girolamo",,,,,,,,,,
416,"Platzer, Johann Victor",,,,,,,,,,
417,"Philippeau, C. F.",,,,,,,,,,
418,"Le Duc, Jun.",,,,,,,,,,
419,"Nogari, Giuseppe",,,,,,,,,,
420,"Pacchiarotto, Jacopo",,,,,,,,,,
421,"Koekkoek, Barend Cornelis",,,,,,,,,,
422,"Maclean, T. Nelson",,,,,,,,,,
423,"Parocel, Charles",,,,,,,,,,
424,"Schindler, Emil Jacob",,,,,,,,,,
425,"Lies, J.",,,,,,,,,,
426,"Rock, Michael",,,,,,,,,,
427,"Herdman, Robert",,,,,,,,,,
428,"Mcculloch, Horatio",,,,,,,,,,
429,"Mcgregor, Robert",,,,,,,,,,
430,"Mignon, Abraham",,,,,,,,,,
431,"Leys, Baron Henri",,,,,,,,,,
432,"Lucy, Charles",,,,,,,,,,
433,"Patinir, Joachim D.",,,,,,,,,,
434,Master Of The Magdalen Legend,,,,,,,,,,
435,"Nasmyth, Alexander",,,,,,,,,,
436,"Melville, Arthur",,,,,,,,,,
437,"Langley, Walter",,,,,,,,,,
438,"Hemsley, William",,,,,,,,,,
439,"Hemmelinck, See Memling",,,,,,,,,,
440,"Italian, Early",,,,,,,,,,
441,"Lawson, Cecil Gordon",,,,,,,,,,
442,"Lucas, John Seymour",,,,,,,,,,
443,"Nono, Luigi",,,,,,,,,,
444,"Roubiliac, Louis F.",,,,,,,,,,
445,"Octervelt, Jan",,,,,,,,,,
446,"Legros, Alphonse.",,,,,,,,,,
447,"Ramsay, Allan",,,,,,,,,,
448,"La Thangue, Henry H.",,,,,,,,,,
449,"Hals, Dirk",,,,,,,,,,
450,"Rankley, Alfred",,,,,,,,,,
451,"Lang, Jan",,,,,,,,,,
452,"Haines, William Henry",,,,,,,,,,
453,"Savery, Roelant",,,,,,,,,,
454,"Malton, Thomas",,,,,,,,,,
455,"Luker, William",,,,,,,,,,
456,"Lefebre, Jules",,,,,,,,,,
457,"Ponte, Johannes",,,,,,,,,,
458,"Naftel, Paul J",,,,,,,,,,
459,Marco Da Sienna,,,,,,,,,,
460,"Joris, Pio",,,,,,,,,,
461,"Makart, Hans",,,,,,,,,,
462,"Messina, Antonelio Di",,,,,,,,,,
463,"Raven, John Samuel",,,,,,,,,,
464,"Jimenez-aranda, Louis",,,,,,,,,,
465,"Mhoof, Heinrich Max",,,,,,,,,,
466,"Lami, Louis Eugene",,,,,,,,,,
467,"Howard, Hugh",,,,,,,,,,
468,"Ricci, A.",,,,,,,,,,
469,"Hornel, Edward A.",,,,,,,,,,
470,"Johnstone, William Borthwick",,,,,,,,,,
471,"Pontromo, Jacopo Carucci Da",,,,,,,,,,
472,"Isabey, Louis Gabriel Eugene",,,,,,,,,,
473,"Jimenez-aranda, Jos",,,,,,,,,,
474,"Macdowell, Patrick",,,,,,,,,,
475,"Moor, Karel De (see De Moor)",,,,,,,,,,
476,"Hodges, William",,,,,,,,,,
477,"Romanelli, Giovanni Francesco",,,,,,,,,,
478,"Hilton, William",,,,,,,,,,
479,"Head, Guy, Of Rome",,,,,,,,,,
480,"Jackson, John",,,,,,,,,,
481,"Sacchi, Andrea",,,,,,,,,,
482,"Hayter, Sir George",,,,,,,,,,
483,"Nollekens, Joseph",,,,,,,,,,
484,Mathon,,,,,,,,,,
485,"Imola, Innocenza Da.",,,,,,,,,,
486,"Penna, F. (marco Nuzzi)",,,,,,,,,,
487,"Petitot, Jean",,,,,,,,,,
488,"Proccacini, Camillo",,,,,,,,,,
489,"Marshall, William Calder",,,,,,,,,,
490,"Herbert, John Rogers",,,,,,,,,,
491,"Max, Gabriel",,,,,,,,,,
492,"Penley, Aaron Edwin",,,,,,,,,,
493,"Hayman, Frank, R.A.",,,,,,,,,,
494,"Knight, William Henry",,,,,,,,,,
495,"Marshall, Ben",,,,,,,,,,
496,"Jones, George",,,,,,,,,,
497,"Hurlestone, Frederick Yeates",,,,,,,,,,
498,"Ramberg, John Henry",,,,,,,,,,
499,"Previtali, Andrea",,,,,,,,,,
500,"Kray, Wilhelm",,,,,,,,,,
501,"Perrault, Leon Bazile",,,,,,,,,,
502,"Robins, Thomas Sewell",,,,,,,,,,
503,"Jalabert, Charles Franois",,,,,,,,,,
504,"Lucas, John Templeton",,,,,,,,,,
505,"Lambinet, Emile Charles",,,,,,,,,,
506,"Leyster, Judith",,,,,,,,,,
507,"Poggenbeek, George",,,,,,,,,,
508,"Kelli, Professor",,,,,,,,,,
509,"Norman, A.",,,,,,,,,,
510,"Meulen, Franois",,,,,,,,,,
511,"Hayes, Edwin, R.H.A.",,,,,,,,,,
512,"Le Prince, Jean Baptiste",,,,,,,,,,
513,Robert,,,,,,,,,,
514,"Perotti, Pietro Antonio",,,,,,,,,,
515,"Richmond, Sir William Blake",,,,,,,,,,
516,"Lawson, George A.",,,,,,,,,,
517,"Herbert, Antoine Aug. Ernest",,,,,,,,,,
518,Legozzi,,,,,,,,,,
519,"Lepine, S.",,,,,,,,,,
520,"Mckewan, D. H",,,,,,,,,,
521,"Schyndal, Bernard",,,,,,,,,,
522,Milanese School,,,,,,,,,,
523,"Homer, Winslow",,,,,,,,,,
524,"Peruzzi, Baldassare",,,,,,,,,,
525,"Mucke, Heinrich",,,,,,,,,,
526,"Mazzuoli, Francesco",,,,,,,,,,
527,"Roselli, Matteo Cosimo",,,,,,,,,,
528,"Rippingille, Edward Villiers",,,,,,,,,,
529,"Hargitt, Edward. 1845-1896",,,,,,,,,,
530,"Kauffmann, Hermann",,,,,,,,,,
531,"Hancock, Charles",,,,,,,,,,
532,"Le Tellier, Jean",,,,,,,,,,
533,"Scheffer, Henry",,,,,,,,,,
534,Reme,,,,,,,,,,
535,"Oggione, Marco D'",,,,,,,,,,
536,"La Tour, Maurice Quentin De.",,,,,,,,,,
537,"Lestrel, A. A.",,,,,,,,,,
538,"Robertson, H. H. ",,,,,,,,,,
539,"May, Walter William",,,,,,,,,,
540,"Rootius, Jan Albertz",,,,,,,,,,
541,"Hamon, Jean Louis",,,,,,,,,,
542,"Heaphy, Thomas",,,,,,,,,,
543,"Lehman,rudolph.",,,,,,,,,,
544,"Lundens, Gerrit",,,,,,,,,,
545,"Paye, Richard Morton",,,,,,,,,,
546,"Lanfranco, Giovanni",,,,,,,,,,
547,"Hobday, William Armfield",,,,,,,,,,
